gauge_id,gauge_lat,gauge_lon,GPP_MODIS_gCperm2yr,NPP_MODIS_gCperm2yr,GPP_gCperm2yr,C4_fraction,C4_fraction_un
6043500,45.49743,-111.27051,6553,,768.5055,,
6154410,47.9661,-108.66071,651.4782609,393.0565217,893.0375,23.65096934,1.933159486
6188000,44.92772,-110.39381,378.0173913,263.0521739,523.999,10.07807713,2.241709064
6191500,45.11188,-110.79438,247.5565217,174.6173913,429.20822,,
6221400,43.34551,-109.41014,226.0173913,156.6130435,336.07242,18.27172925,2.386126708
6224000,43.1769,-109.20291,349.0869565,238.926087,358.12424,18.27172925,2.386126708
6278300,44.50802,-107.40369,266.8782609,182.4347826,575.5551,12.7430937,1.706550172
6280300,44.20828,-109.55489,211.5434783,148.0826087,242.34276,6.710953178,1.594830195
6289000,45.00691,-107.61509,557.2478261,363.7521739,676.774,25.81504985,1.98173635
6291500,45.12644,-107.60054,738.4478261,446.4652174,828.2576,25.81504985,1.98173635
6311000,44.02774,-107.08089,416.9478261,269.5130435,595.365,8.94378419,1.626776957
6332515,47.78724,-102.76853,569.673913,352.3608696,820.27264,22.28475299,1.001776786
6339100,47.23613,-102.76991,658.7,389.7304348,758.80206,22.7567572,1.621280642
6339500,47.15445,-102.05989,635.0521739,377.0391304,810.07306,20.39167093,1.30504057
6344600,47.02779,-103.05324,685.4826087,395.9565217,720.0453,25.13574641,1.642744956
6350000,46.42667,-102.55183,583.2043478,348.3217391,797.0537,13.7780045,1.543205738
6352000,46.15417,-102.47405,579.5826087,339.3608696,725.9073,17.20595888,0.889774815
6353000,46.09167,-101.33374,614.0086957,355.9478261,728.7609,23.3649664,1.408084292
6354000,46.37611,-100.93444,583.573913,346.3695652,753.1423,21.24899034,1.245290619
6360500,45.25582,-100.84292,603.2086957,341.3,770.8712,34.15373861,1.992509313
6404000,43.87249,-103.33658,693.5565217,406.7173913,846.9724,28.35117491,2.434256657
6406000,43.82805,-103.19602,682.726087,386.4173913,813.7931,28.35117491,2.434256657
6408700,44.13665,-103.85854,964.7434783,535.9304348,1026.0167,0.060637113,
6409000,44.01359,-103.83048,820.773913,487.9217391,875.93024,0.060637113,
6431500,44.48248,-103.86159,6553,,1018.55383,0.060637113,
6440200,43.96888,-101.76709,516.6826087,297.873913,698.9998,36.76403305,2.549558979
